Year ,Month,Transport Mode,Volume ,Rate,,,,
2016,May,TFL Rail,37,9.6,,,,
2016,June,TFL Rail,45,11.2,,,,
2016,July,TFL Rail,29,7.1,,,,
2016,August,TFL Rail,28,7.1,,,,
2016,September,TFL Rail,39,10.1,,,,
2016,October,TFL Rail,37,9.2,,,,
2016,November,TFL Rail,30,6.9,,,,
2016,December,TFL Rail,38,10.7,,,,
2017,January,TFL Rail,32,7.6,,,,
2017,February,TFL Rail,30,9.1,,,,
2017,March,TFL Rail,36,8.8,,,,
2016,April,London Tramlink,21,8.8,,,,
2016,May,London Tramlink,27,10.6,,,,
2016,June,London Tramlink,25,9.7,,,,
2016,July,London Tramlink,14,5.4,,,,
2016,August,London Tramlink,12,5.9,,,,
2016,September,London Tramlink,9,4.6,,,,
2016,October,London Tramlink,22,8.2,,,,
2016,November,London Tramlink,17,7.9,,,,
2016,December,London Tramlink,22,9,,,,
2017,January,London Tramlink,19,7.4,,,,
2017,February,London Tramlink,29,13.2,,,,
2017,March,London Tramlink,28,10.2,,,,
2016,April,All transport modes,"2,267",6.8,,,,
2016,May,All transport modes,"2,548",7.5,,,,
2016,June,All transport modes,"2,603",7.7,,,,
2016,July,All transport modes,"2,546",7.5,,,,
2016,August,All transport modes,"2,583",8.3,,,,
2016,September,All transport modes,"2,465",7.2,,,,
2016,October,All transport modes,"2,595",7.4,,,,
2016,November,All transport modes,"2,880",8.1,,,,
2016,December,All transport modes,"2,526",8,,,,
2017,January,All transport modes,"2,328",7.2,,,,
2017,February,All transport modes,"2,345",7.6,,,,
2017,March,All transport modes,"2,917",8,,,,
2017,April,Bus,"1,166",6.6,,,,
2017,May,Bus,"1,396",7,,,,
2017,June,Bus,"1,402",7.2,,,,
2017,July,Bus,"1,536",8.1,,,,
2017,August,Bus,"1,197",7.1,,,,
2017,September,Bus,"1,274",6.5,,,,
2017,October,Bus,"1,403",7.1,,,,
2017,November,Bus,"1,543",7.8,,,,
2017,December,Bus,"1,227",7.1,,,,
2018,January,Bus,"1,218",6.5,,,,
2018,February,Bus,"1,245",7.2,,,,
2018,March,Bus,"1,320",6.9,,,,
2017,April,London Underground,"1,014",9.5,,,,
2017,May,London Underground,922,7.9,,,,
2017,June,London Underground,"1,014",9,,,,
2017,July,London Underground,"1,103",9.4,,,,
2017,August,London Underground,992,9.1,,,,
2017,September,London Underground,995,9,,,,
2017,October,London Underground,"1,209",10,,,,
2017,November,London Underground,"1,257",10.3,,,,
2017,December,London Underground,"1,282",11.9,,,,
2018,January,London Underground,"1,194",10.7,,,,
2018,February,London Underground,"1,193",11.1,,,,
2018,March,London Underground,"1,295",11.2,,,,
2017,April,Docklands Light Railway,63,6.1,,,,
2017,May,Docklands Light Railway,61,5.9,,,,
2017,June,Docklands Light Railway,60,5.9,,,,
2017,July,Docklands Light Railway,55,5.3,,,,
2017,August,Docklands Light Railway,62,6.3,,,,
2017,September,Docklands Light Railway,45,4.6,,,,
2017,October,Docklands Light Railway,50,4.7,,,,
2017,November,Docklands Light Railway,57,5.3,,,,
2017,December,Docklands Light Railway,34,3.8,,,,
2018,January,Docklands Light Railway,44,4.5,,,,
2018,February,Docklands Light Railway,30,3.2,,,,
2018,March,Docklands Light Railway,52,5.4,,,,
2017,April,London Overground,98,6.6,,,,
2017,May,London Overground,134,8.3,,,,
2017,June,London Overground,137,8.7,,,,
2017,July,London Overground,124,7.7,,,,
2017,August,London Overground,113,7.6,,,,
2017,September,London Overground,110,7.2,,,,
2017,October,London Overground,142,9.2,,,,
2017,November,London Overground,102,6.5,,,,
2017,December,London Overground,109,7.8,,,,
2018,January,London Overground,97,6.1,,,,
2018,February,London Overground,111,7.6,,,,
2018,March,London Overground,116,7.2,,,,
