Year,Month,Transport Mode,Crime Volume,Rate
2020,6,London Underground / Docklands Light Railway,426.0,40.5
2020,6,TFL Rail,39.0,30.8
2020,7,Bus,1053.0,13.8
2020,7,London Overground,58.0,11.9
2020,7,London Tramlink,12.0,10.4
2020,7,London Underground / Docklands Light Railway,617.0,36.400000000000006
2020,7,TFL Rail,51.0,26.6
2020,8,Bus,1033.0,12.1
2020,8,London Overground,96.0,17.9
2020,8,London Tramlink,21.0,19.4
2020,8,London Underground / Docklands Light Railway,661.0,27.5
2020,8,TFL Rail,48.0,22.7
2020,9,Bus,1302.0,11.8
2020,9,London Overground,93.0,14.1
2020,9,London Tramlink,24.0,16.0
2020,9,London Underground / Docklands Light Railway,781.0,29.0
2020,9,TFL Rail,62.0,24.4
2020,10,Bus,1261.0,11.6
2020,10,London Overground,85.0,13.4
2020,10,London Tramlink,14.0,9.1
2020,10,London Underground / Docklands Light Railway,854.0,26.8
2020,10,TFL Rail,48.0,18.8
2020,11,Bus,1020.0,12.1
2020,11,London Overground,87.0,17.8
2020,11,London Tramlink,16.0,10.9
2020,11,London Underground / Docklands Light Railway,748.0,34.3
2020,11,TFL Rail,36.0,17.6
2020,12,Bus,841.0,9.8
2020,12,London Overground,53.0,10.7
2020,12,London Tramlink,12.0,9.6
2020,12,London Underground / Docklands Light Railway,724.0,29.8
2020,12,TFL Rail,40.0,20.8
2021,1,Bus,481.0,9.2
2021,1,London Overground,59.0,19.2
2021,1,London Tramlink,10.0,11.5
2021,1,London Underground / Docklands Light Railway,514.0,43.400000000000006
2021,1,TFL Rail,39.0,34.1
2021,2,Bus,551.0,9.7
2021,2,London Overground,49.0,13.7
2021,2,London Tramlink,6.0,8.2
2021,2,London Underground / Docklands Light Railway,526.0,42.1
2021,2,TFL Rail,32.0,24.4
2021,3,Bus,870.0,11.0
2021,3,London Overground,72.0,12.9
2021,3,London Tramlink,13.0,12.2
2021,3,London Underground / Docklands Light Railway,670.0,32.8
2021,3,TFL Rail,36.0,18.0
2021,4,Bus,858.0,9.3
2021,4,London Overground,90.0,13.5
2021,4,London Tramlink,17.0,14.2
